Название кампании	Тип кампании	Минус-фразы на кампанию	Название группы	Номер группы	Доп. объявление группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка	Отображаемая ссылка	Заголовки быстрых ссылок	Описания быстрых ссылок	Адреса быстрых ссылок	Уточнения	Минус-фразы на группу
CC | Зарубежные счета	Текстово-графическая	бесплатно, вакансии, работа, курс, обучение, реферат, скачать, форум, отзывы, мошенники, обман, развод, форекс, брокер, кредит, ипотека, вклад, депозит, госуслуги, wikipedia, википедия, своими руками, самостоятельно, внж, вид на жительство, гражданство, golden visa, виза, туры, отель, авиабилеты, перелет, заморозка активов за рубежом	Отказ банка	1	-	"банк отказал в открытии счета"	Банк отказал в счёте?	Что делать дальше	Разберём причину отказа и усилим Source of Funds под другой банк. Под NDA.	https://ccapital.pro/bank-refused.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={keyword}	schet/otkaz-banka	Счёт в ОАЭ||Сингапур||Гонконг||Source of Funds	Личный и корпоративный счёт в Дубае||Счёт в банке Сингапура для нерезидентов||Открытие счёта с чистой историей капитала||Досье происхождения средств под банк	https://ccapital.pro/account-uae.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/account-singapore.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/account-hong-kong.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/source-of-funds.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink	Под NDA||Source of Funds под ключ||KYC/EDD||С 2023 года||Документы под банк||Без транзитных схем	
CC | Зарубежные счета				1	-	"банк отказал в счете"										
CC | Зарубежные счета				1	-	"закрыли счет в банке"										
CC | Зарубежные счета				1	-	"блокировка счета банк"										
CC | Зарубежные счета				1	-	"отказали в открытии счета за рубежом"										
CC | Зарубежные счета				1	-	"банк закрыл счет компании"										
CC | Зарубежные счета				1	-	"заблокировали счет за границей"										
CC | Зарубежные счета				1	-	"банк не открывает счет нерезиденту"										
CC | Зарубежные счета				1	-	"отказ в открытии счета причины"										
CC | Зарубежные счета				1	-	"что делать если банк отказал в счете"										
CC | Зарубежные счета				1	+		Отказали в открытии счёта?	Разбор под NDA	Поможем понять причину и выстроить историю капитала для нового банка.	https://ccapital.pro/bank-refused.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={keyword}	schet/otkaz-banka	Счёт в ОАЭ||Сингапур||Гонконг||Source of Funds	Личный и корпоративный счёт в Дубае||Счёт в банке Сингапура для нерезидентов||Открытие счёта с чистой историей капитала||Досье происхождения средств под банк	https://ccapital.pro/account-uae.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/account-singapore.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/account-hong-kong.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/source-of-funds.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink	Под NDA||Source of Funds под ключ||KYC/EDD||С 2023 года||Документы под банк||Без транзитных схем	
CC | Зарубежные счета	Текстово-графическая		Зарубежный счёт	2	-	"зарубежный счет для россиян"	Зарубежный счёт под ключ	ОАЭ · Сингапур · Гонконг	Маршрут «доказываем, а не прячем». Личный и корпоративный счёт.	https://ccapital.pro/bank-account.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={keyword}	zarubezhnyy-schet	Счёт в ОАЭ||Сингапур||Гонконг||Source of Funds	Личный и корпоративный счёт в Дубае||Счёт в банке Сингапура для нерезидентов||Открытие счёта с чистой историей капитала||Досье происхождения средств под банк	https://ccapital.pro/account-uae.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/account-singapore.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/account-hong-kong.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/source-of-funds.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink	Под NDA||Source of Funds под ключ||KYC/EDD||С 2023 года||Документы под банк||Без транзитных схем	
CC | Зарубежные счета				2	-	"счет за границей для физлица"										
CC | Зарубежные счета				2	-	"открыть зарубежный счет"										
