Название кампании	Тип кампании	Минус-фразы на кампанию	Название группы	Номер группы	Доп. объявление группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка	Отображаемая ссылка	Заголовки быстрых ссылок	Описания быстрых ссылок	Адреса быстрых ссылок	Уточнения	Минус-фразы на группу
CC | Source of Funds	Текстово-графическая	бесплатно, вакансии, работа, курс, обучение, реферат, скачать, форум, отзывы, мошенники, обман, развод, форекс, брокер, кредит, ипотека, вклад, депозит, госуслуги, wikipedia, википедия, своими руками, самостоятельно, образец, пример, шаблон, диплом, казино, ставки, майнинг, кран, airdrop, сигналы, обменник, как заработать, заморозка активов за рубежом	Source of Funds	1	-	"source of funds"	Source of Funds под ключ	Досье для банка	Досье происхождения средств и капитала под комплаенс банка.	https://ccapital.pro/source-of-funds.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={keyword}	source-of-funds	AML для крипты||Отказ банка||Зарубежный счёт||Private Office	Чистый вход криптоактивов в банк||Что делать, если банк отказал в счёте||ОАЭ, Сингапур, Гонконг под ключ||Архитектура легитимности от $1M	https://ccapital.pro/aml-crypto.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/bank-refused.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/bank-account.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/private.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink	Под NDA||Source of Funds под ключ||AML-досье||KYC/EDD||С 2023 года||Без P2P и миксеров	
CC | Source of Funds				1	-	"source of wealth"										
CC | Source of Funds				1	-	"как доказать происхождение денег банку"										
CC | Source of Funds				1	-	"подтверждение происхождения средств банк"										
CC | Source of Funds				1	-	"происхождение средств для банка"										
CC | Source of Funds				1	-	"досье источник происхождения средств"										
CC | Source of Funds				1	-	"доказать легальность происхождения капитала"										
CC | Source of Funds				1	-	"подтвердить источник средств для банка"										
CC | Source of Funds				1	+		Доказать происхождение денег	Source of Funds	Собираем историю капитала, которую примет западный банк.	https://ccapital.pro/source-of-funds.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={keyword}	source-of-funds	AML для крипты||Отказ банка||Зарубежный счёт||Private Office	Чистый вход криптоактивов в банк||Что делать, если банк отказал в счёте||ОАЭ, Сингапур, Гонконг под ключ||Архитектура легитимности от $1M	https://ccapital.pro/aml-crypto.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/bank-refused.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/bank-account.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/private.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink	Под NDA||Source of Funds под ключ||AML-досье||KYC/EDD||С 2023 года||Без P2P и миксеров	
CC | Source of Funds	Текстово-графическая		AML и крипта	2	-	"aml криптовалюта"	AML для крипты	Чистый вход в банк	On-chain история, чистый USDC и легальный off-ramp. Без P2P.	https://ccapital.pro/aml-crypto.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={keyword}	aml-crypto	AML для крипты||Отказ банка||Зарубежный счёт||Private Office	Чистый вход криптоактивов в банк||Что делать, если банк отказал в счёте||ОАЭ, Сингапур, Гонконг под ключ||Архитектура легитимности от $1M	https://ccapital.pro/aml-crypto.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/bank-refused.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/bank-account.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/private.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink	Под NDA||Source of Funds под ключ||AML-досье||KYC/EDD||С 2023 года||Без P2P и миксеров	
