Название кампании	Тип кампании	Минус-фразы на кампанию	Название группы	Номер группы	Доп. объявление группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка	Отображаемая ссылка	Заголовки быстрых ссылок	Описания быстрых ссылок	Адреса быстрых ссылок	Уточнения	Минус-фразы на группу
CC | ВЭД-консалтинг	Текстово-графическая	бесплатно, вакансии, работа, курс, обучение, реферат, скачать, форум, отзывы, мошенники, обман, развод, форекс, брокер, кредит, ипотека, вклад, депозит, госуслуги, wikipedia, википедия, своими руками, самостоятельно, криптовалюта, крипта, usdt, usdc, биткоин, обменник, обмен, p2p, кошелек, купить крипту, вывод крипты, платежный агент, перевод денег, денежный перевод, калькулятор, ставка цб	Сопровождение ВЭД	1	-	"сопровождение вэд"	Сопровождение ВЭД под ключ	Договоры и валютный контроль	Контракт с нерезидентом, валютный контроль и закрывающие документы.	https://ccapital.pro/ved-consulting.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={keyword}	ved-konsalting	Валютный контроль||Договор с нерезидентом||Зарубежный счёт||О подходе	Сопровождение и закрывающие документы||Контракты ВЭД под банк и комплаенс||Счёт под международные сделки||Доказываем, а не прячем	https://ccapital.pro/ved-consulting.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/source-of-funds.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/bank-account.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/qualified-clients.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink	Под NDA||Договор с нерезидентом||Валютный контроль||Закрывающие документы||Без НДС||С 2023 года	
CC | ВЭД-консалтинг				1	-	"вэд под ключ"										
CC | ВЭД-консалтинг				1	-	"консультация по вэд"										
CC | ВЭД-консалтинг				1	-	"вэд консалтинг"										
CC | ВЭД-консалтинг				1	-	"внешнеэкономическая деятельность сопровождение"										
CC | ВЭД-консалтинг				1	-	"сопровождение внешнеторговых сделок"										
CC | ВЭД-консалтинг				1	-	"аутсорсинг вэд"										
CC | ВЭД-консалтинг				1	-	"помощь с вэд"										
CC | ВЭД-консалтинг				1	+		ВЭД-консалтинг для бизнеса	Сложные сделки	Структурируем сделку: договор, валютный контроль, бухгалтерия. Под NDA.	https://ccapital.pro/ved-consulting.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={keyword}	ved-konsalting	Валютный контроль||Договор с нерезидентом||Зарубежный счёт||О подходе	Сопровождение и закрывающие документы||Контракты ВЭД под банк и комплаенс||Счёт под международные сделки||Доказываем, а не прячем	https://ccapital.pro/ved-consulting.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/source-of-funds.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/bank-account.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/qualified-clients.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink	Под NDA||Договор с нерезидентом||Валютный контроль||Закрывающие документы||Без НДС||С 2023 года	
CC | ВЭД-консалтинг	Текстово-графическая		Валютный контроль	2	-	"валютный контроль"	Валютный контроль ВЭД	Документы под банк	Штатный валютный контроль, договор с нерезидентом и закрывающие.	https://ccapital.pro/ved-consulting.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={keyword}	valyutnyy-kontrol	Валютный контроль||Договор с нерезидентом||Зарубежный счёт||О подходе	Сопровождение и закрывающие документы||Контракты ВЭД под банк и комплаенс||Счёт под международные сделки||Доказываем, а не прячем	https://ccapital.pro/ved-consulting.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/source-of-funds.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/bank-account.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/qualified-clients.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink	Под NDA||Договор с нерезидентом||Валютный контроль||Закрывающие документы||Без НДС||С 2023 года	
