Название кампании	Тип кампании	Минус-фразы на кампанию	Название группы	Номер группы	Доп. объявление группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка	Отображаемая ссылка	Заголовки быстрых ссылок	Описания быстрых ссылок	Адреса быстрых ссылок	Уточнения	Минус-фразы на группу
CC | Бизнес и отель в Таиланде	Текстово-графическая	бесплатно, вакансии, работа, курс, обучение, реферат, скачать, форум, отзывы, мошенники, обман, развод, форекс, кредит, ипотека, госуслуги, wikipedia, википедия, своими руками, самостоятельно, франшиза, бизнес план, бизнес идеи, с нуля, авито, туры, тур, отдых, пляж, погода, авиабилеты, перелет, экскурсии, снять виллу, аренда виллы, booking, отзывы туристов, работа в таиланде, вакансии таиланд, как открыть с нуля	Бизнес в Таиланде	1	-	"бизнес в таиланде"	Бизнес в Таиланде под ключ	Законная структура	Владение без номиналов, виза LTR и чистый перевод капитала. Под NDA.	https://ccapital.pro/business-thailand.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={keyword}	biznes-tailand	Структуры владения||Виза LTR||Недвижимость Пхукета||Source of Funds	BOI, тайская компания, FBL||10 лет, вилла в зачёт ценза||Вилла под визу LTR на Пхукете||Чистый перевод капитала в банк	https://ccapital.pro/business-thailand.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/business-thailand.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/property.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/source-of-funds.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink	Под NDA||Без номиналов||Виза LTR||Тайский юрист-партнёр||Source of Funds||С 2023 года	
CC | Бизнес и отель в Таиланде				1	-	"купить бизнес в таиланде"										
CC | Бизнес и отель в Таиланде				1	-	"готовый бизнес в таиланде"										
CC | Бизнес и отель в Таиланде				1	-	"бизнес на пхукете"										
CC | Бизнес и отель в Таиланде				1	-	"купить бизнес на пхукете"										
CC | Бизнес и отель в Таиланде				1	-	"открыть бизнес в таиланде иностранцу"										
CC | Бизнес и отель в Таиланде				1	-	"бизнес в таиланде для россиян"										
CC | Бизнес и отель в Таиланде				1	-	"кафе в таиланде купить"										
CC | Бизнес и отель в Таиланде				1	+		Купить бизнес на Пхукете	Дело для души + статус	Кафе, дайв, велнес, галерея. Законно, с визой LTR. Разбор под NDA.	https://ccapital.pro/business-thailand.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={keyword}	biznes-tailand	Структуры владения||Виза LTR||Недвижимость Пхукета||Source of Funds	BOI, тайская компания, FBL||10 лет, вилла в зачёт ценза||Вилла под визу LTR на Пхукете||Чистый перевод капитала в банк	https://ccapital.pro/business-thailand.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/business-thailand.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/property.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/source-of-funds.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink	Под NDA||Без номиналов||Виза LTR||Тайский юрист-партнёр||Source of Funds||С 2023 года	
CC | Бизнес и отель в Таиланде	Текстово-графическая		Отель в Таиланде	2	-	"купить отель в таиланде"	Купить отель в Таиланде	Законно для иностранца	Отель через BOI (100%) или тайскую компанию. Виза LTR. Под NDA.	https://ccapital.pro/business-thailand.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={keyword}	otel-tailand	Структуры владения||Виза LTR||Недвижимость Пхукета||Source of Funds	BOI, тайская компания, FBL||10 лет, вилла в зачёт ценза||Вилла под визу LTR на Пхукете||Чистый перевод капитала в банк	https://ccapital.pro/business-thailand.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/business-thailand.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/property.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/source-of-funds.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink	Под NDA||Без номиналов||Виза LTR||Тайский юрист-партнёр||Source of Funds||С 2023 года	
CC | Бизнес и отель в Таиланде				2	-	"отель в таиланде купить"										
CC | Бизнес и отель в Таиланде				2	-	"купить отель на пхукете"										
CC | Бизнес и отель в Таиланде				2	-	"отель на пхукете бизнес"										
CC | Бизнес и отель в Таиланде				2	-	"владеть отелем в таиланде"										
CC | Бизнес и отель в Таиланде				2	-	"инвестиции в отель таиланд"										
CC | Бизнес и отель в Таиланде				2	-	"гостиничный бизнес таиланд"										
